,artist_id,artist_name,followers,main_genre,subgenre,source
1529,4hiLNlqr4vQdiuo1aQKSXS,Niki & The Dove,90037.0,indie,electronic,LastFM
1530,0raU17YI2OXuenDM7N7gfh,Kid Harpoon,2930.0,singer-songwriter,folk,LastFM
1531,5o8Wylae9k23IEJMIiwd8s,The Antlers,204675.0,indie,indie,LastFM
1532,6pxX8ODU4RlnXmcyjPIPcp,Stars In Stereo,10702.0,rock,alternative rock,LastFM
1533,0XgnZ9kOpQGjRb1u0PlD9h,Chris Conley,135.0,metal,emo,LastFM
1534,0vxTzepVgUX4iqyCkvaIva,Matt Pryor,7151.0,singer-songwriter,singer-songwriter,LastFM
1535,1Rule8VpCyWvoSwUQQqGDV,Andy Hull,7707.0,singer-songwriter,singer-songwriter,LastFM
1536,5Y9G58n84x02zwX6EqsKKW,Keith Buckley,309.0,rock,metalcore,LastFM
1537,0T11FAIxdnrke5SlibIAds,Brian Sella,177.0,indie,indie,LastFM
1538,27iSHWBZHxt78LIPJo9O2v,Bob Nanna,826.0,indie,folk,LastFM
1539,0W9BgTcvxMtOAaX1tLJl10,Christie DuPree,63.0,indie,indie,LastFM
1540,2wJ4vsxWd7df7dRU4KcoDe,Sharon Van Etten,570049.0,singer-songwriter,folk,LastFM
1541,3nVeK8gQChVtVCCjGreal2,Tim Halperin,43794.0,pop,singer-songwriter,LastFM
1542,56m3zvu4pwoqd9MrHkQHQg,Greg Porn,777.0,hip hop,rap,LastFM
1543,7df4aW2MDoNsEhmJ2NRoro,Dice Raw,3725.0,hip hop,rap,LastFM
1544,5DWj9QLyCN9dyQydd1P9QG,Peter Criss,67579.0,rock,hard rock,LastFM
1545,5gAbCaW9OmfIqqZGLpKb3f,Gene Simmons,103516.0,rock,hard rock,LastFM
1546,5W0GCoUUwU3SF6qpJanlug,Paul Stanley,147203.0,rock,hard rock,LastFM
1547,0J7U24vlOOIeMpuaO6Q85A,LP,2778955.0,indie,indie,LastFM
1548,5pm07hAR0oGOiWtuaBacmC,ForteBowie,1652.0,hip hop,rap,LastFM
1549,7aKDD7HslHdPuVECyvMqcI,David Davidson,3178.0,classical,classical,LastFM
1550,3Er4s8F6Ugd0PESHxmYt0I,Jamie Lynn Spears,52571.0,pop,pop,LastFM
1551,5XCujjq919BFXTnjyyDpiE,Tyler Glenn,12271.0,pop,pop,LastFM
1552,7s8qj3Bzbzoyw1t1y88GuX,D-wayne,5674.0,edm,edm,LastFM
1553,5FZhjOOsYjcshzz1tEAjZ9,Jack McManus,1033.0,pop,pop,LastFM
1554,266duGfkKTRERSBoGDOgDy,Spree Wilson,4326.0,hip hop,hip hop,LastFM
1555,53A0W3U0s8diEn9RhXQhVz,Keane,3749991.0,indie,britpop,LastFM
1556,7GwxVVJFS0SwwzQmhfoTtl,California Breed,13524.0,rock,hard rock,LastFM
1557,1rVN2nOV74weTglog9V0gk,Josh Kaufman,5136.0,soul,soul,LastFM
1558,3ICyfoySNDZqtBVmaBT84I,War,493972.0,funk,funk,LastFM
1559,0RpddSzUHfncUWNJXKOsjy,Neon Trees,1265247.0,indie,indie,LastFM
1560,6maPmKkdwM4eyhz5O4lbkP,Nonna,11340.0,pop,pop,LastFM
1561,5OrB6Jhhrl9y2PK0pSV4VP,Young Money,3177951.0,hip hop,rap,LastFM
1562,3d9x5nPJE3VL3ngxkZ6aUC,euro,6964.0,hip hop,trance,LastFM
